"Open ""Student Record"" table and insert 3 more columns.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Apply If condition to calculate Result: If total is greater than 120 ""Pass"" otherwise ""Ree"".",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Apply If condition to calculate Position: If average is greater than 70, then ""first"" otherwise ""second"".",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Apply If condition to calculate Grade: If Position is first then Grade ""A"" otherwise Grade ""B"".",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Roll No,Marks 1,marks 2,marks 3,total,average,max,min,Result,Position,Grade,,,
1001,98,45,34,177,59,98,34,Pass,second,B,,,
1002,50,40,20,110,36.67,50,20,Ree,second,B,,,
1003,79,67,56,202,67.33,79,56,Pass,second,B,,,
1004,90,78,77,245,81.67,90,77,Pass,first,A,,,
1005,56,89,88,233,77.67,89,56,Pass,first,A,,,
1006,34,34,30,98,32.67,34,30,Ree,second,B,,,
1007,56,87,45,188,62.67,87,45,Pass,second,B,,,
1008,78,76,69,223,74.33,78,69,Pass,first,A,,,
1009,89,65,86,240,80,89,65,Pass,first,A,,,
1010,34,30,27,91,30.33,34,27,Ree,second,B,,,
